genus,epithet,voucher,outline,polarity,dispersal_unit,aperturate,ornamentation,saccate,operculate,annulate,aperture_type,aperture_number,l_polar_lat,l_equi_lat
Heracleum,sphondylium,none,elliptic,isopolar,monad,none,scabrate,none,no,no,colporate,tri,,
Ligusticum,porteri,none,elliptic,isopolar,monad,none,psilate,none,no,no,colporate,tri,,
Osmorhiza,depauperata,none,elliptic,isopolar,monad,none,scabrate,none,no,no,colporate,tri,,
Cymopterus,lemmonii,none,elliptic,isopolar,monad,none,psilate,none,no,no,colporate,tri,,
Senecio,wootonii,none,circular,isopolar,monad,none,echinate,none,no,no,colporate,tri,,
Symphyotrichum,foliaceum,none,circular,isopolar,monad,none,echinate,none,no,no,colporate,tri,,
Lappula,squarrosa,none,elliptic,isopolar,monad,heteroaperturate,psilate,none,no,no,porate,tri,,
Mertensia,ciliata,none,elliptic,isopolar,monad,heteroaperturate,psilate,none,no,no,colporate,tri,,
Mertensia,fusiformis,none,elliptic,isopolar,monad,heteroaperturate,psilate,none,no,no,colporate,tri,,
Boechera,stricta,none,circular,isopolar,monad,none,homobrochate,none,no,no,colpate,tri,,
Cardamine,cordifolia,none,triangular,isopolar,monad,none,bacculate,none,no,no,colpate,tri,,
Draba,spectabilis,none,circular,isopolar,monad,none,psilate,none,no,no,colpate,tri,,
Erysimum,capitatum,none,elliptic,isopolar,monad,none,areolate,none,no,no,colpate,tri,,
Thlaspi,arvense,none,elliptic,isopolar,monad,none,homobrochate,none,no,no,colpate,tri,,
Lonicera,involucrata,none,circular,isopolar,monad,none,perforate,none,no,yes,colpate,tri,,
Stellaria,longifolia,none,circular,isopolar,monad,none,scabrate,none,no,no,porate,panto,,
Lupinus,argenteus,none,circular,isopolar,monad,none,homobrochate,none,no,no,colporate,tri,,
Lupinus,crassus,none,,,,,,,,,,,,
Lathyrus,leucanthus,none,elliptic,isopolar,monad,none,psilate,none,no,no,colporate,tri,,
Trifolium,hybridum,none,circular,isopolar,monad,none,psilate,none,no,no,colporate,tri,,
Trifolium,pratense,none,circular,isopolar,monad,none,heterobrochate,none,no,no,colporate,tri,,
Vicia,americana,none,elliptic,isopolar,monad,none,psilate,none,no,no,colporate,tri,,
Iris,missouriensis,none,circular,isopolar,monad,none,heterobrochate/psilate,none,no,no,none,none,,
Zigadenus,elegans,none,elliptic,isopolar,monad,none,homobrochate/psilate,none,no,no,colpate,mono,,
Castilleja,miniata,none,circular,isopolar,monad,none,psilate,none,no,no,colpate,tri,,
Castilleja,sulphurea,none,circular,isopolar,monad,none,psilate,none,no,no,colpate,tri,,
Pedicularis,groenlandica,none,circular,isopolar,monad,planaperturate,psilate,none,no,no,colpate,tri,,
Corydalis,aurea,none,circular,isopolar,monad,none,fossulate,none,no,no,colpate,tri,,
Erythranthe,guttata,none,circular,isopolar,monad,none,gemmate,none,no,no,syncolpate,mono,,
Polemonium,foliosissimum,none,circular,isopolar,monad,none,striate,none,no,no,porate,panto,,
Bistorta,bistortoides,none,elliptic,isopolar,monad,none,psilate,none,no,no,colporate,tri,,
Aquilegia,coerulea,none,circular,isopolar,monad,none,psilate,none,no,no,colpate,tri,,
