Genus,Epithet,Authority,Family,Type,Prepared,Date,Site,State,County,Voucher
Heracleum,sphondylium,L.,Apiaceae,Image,H.M.B.,2010,Gothic,CO,Gunnison,none
Cymopterus,lemmonii,(J.M. Coult. & Rose) Dorn,Apiaceae,Physical,P.J.C.,2014,Gothic,CO,Gunnison,none
Ligusticum,porteri,J.M. Coult. & Rose,Apiaceae,Image,H.M.B.,2010,Gothic,CO,Gunnison,none
Osmorhiza,depauperata,Phil.,Apiaceae,Image,H.M.B.,2010,Gothic,CO,Gunnison,none
Maianthemum,stellatum,(L.) Link,Asparagaceae,Physical,P.J.C,2014,Gothic,CO,Gunnison,none
Achillea,millefolium,L.,Asteraceae,Physical,P.J.C.,2014,Gothic,CO,Gunnison,none
Erigeron,speciosus,(Lind.) DC.,Asteraceae,Physical,P.J.C.,2014,Gothic,CO,Gunnison,none
Erigeron,flagellaris,A. Gray,Asteraceae,Physical,P.J.C.,2014,Gothic,CO,Gunnison,none
Helianthella,quinquenervis,(Hook.) A. Gray,Asteraceae,Physical,P.J.C.,2014,Gothic,CO,Gunnison,none
Heliomeris,multiflora,Nutt.,Asteraceae,Physical,P.J.C.,2014,Gothic,CO,Gunnison,none
Heterotheca,villosa,(Pursh) Shinners,Asteraceae,Physical,P.J.C.,2014,Gothic,CO,Gunnison,none
Hymenoxys,hoopesii,(A. Gray) Bierner,Asteraceae,Physical,P.J.C.,2014,Gothic,CO,Gunnison,none
Senecio,wootonii,Greene,Asteraceae,Image,H.M.B.,2010,Gothic,CO,Gunnison,none
Senecio,integerrimus,Nutt.,Asteraceae,Physical,P.J.C.,2014,Gothic,CO,Gunnison,none
Symphyotrichum,foliaceum,(Lindl. Ex DC.) G.L. Nesom,Asteraceae,Image,H.M.B.,2010,Gothic,CO,Gunnison,none
Taraxacum,officinale,F.H. Wigg,Asteraceae,Physical,P.J.C.,2014,Gothic,CO,Gunnison,none
Lappula,squarrosa,(Retz.) Dumort.,Boraginaceae,Image,H.M.B.,2010,Gothic,CO,Gunnison,none
Mertensia,ciliata,(James ex Torr.) G. Don,Boraginaceae,Image,H.M.B.,2010,Gothic,CO,Gunnison,none
Mertensia,fusiformis,Greene,Boraginaceae,Physical,P.J.C.,2014,Gothic,CO,Gunnison,none
Boechera,stricta,(Graham) Al-Shebhaz,Brassicaceae,Image,H.M.B.,2010,Gothic,CO,Gunnison,none
Cardamine,cordifolia,A. Gray,Brassicaceae,Image,H.M.B.,2010,Gothic,CO,Gunnison,none
Draba,spectabilis,Greene,Brassicaceae,Image,H.M.B.,2010,Gothic,CO,Gunnison,none
Draba,aurea,Vahl. Ex Hornem,Brassicaceae,Physical,P.J.C.,2014,Gothic,CO,Gunnison,none
Erysimum,capitatum,(Douglas ex Hook.) Greene,Brassicaceae,Image,H.M.B.,2010,Gothic,CO,Gunnison,none
Thlaspi,arvense,L.,Brassicaceae,Image,H.M.B.,2010,Gothic,CO,Gunnison,none
Campanula,rotundifolia,L.,Campanulaceae,Physical,P.J.C.,2014,Gothic,CO,Gunnison,none
Lonicera,involucrata,(Richardson) Banks ex Spreng.,Caprifoliaceae,Image,H.M.B.,2010,Gothic,CO,Gunnison,none
Stellaria,longifolia,Muh. Ex. Willd.,Caryophyllaceae,Image,H.M.B.,2010,Gothic,CO,Gunnison,none
Lathyrus,lanszwertii var. leucanthus,(Rydb.) Dorn,Fabaceae,Physical,P.J.C.,2014,Gothic,CO,Gunnison,none
Lupinus,argenteus,Pursh,Fabaceae,Image,H.M.B.,2010,Gothic,CO,Gunnison,none
Lupinus,crassus,Payson,Fabaceae,Image,H.M.B.,2010,Gothic,CO,Gunnison,none
Lupinus,sericeus,Pursh,Fabaceae,Physical,P.J.C.,2014,Gothic,CO,Gunnison,none
Trifolium,hybridum,L.,Fabaceae,Image,H.M.B.,2010,Gothic,CO,Gunnison,none
Trifolium,pratense,L.,Fabaceae,Image,H.M.B.,2010,Gothic,CO,Gunnison,none
Vicia,americana,Muhl. Ex Willd.,Fabaceae,Image,H.M.B.,2010,Gothic,CO,Gunnison,none
Iris,missouriensis,Nutt.,Iridaceae,Image,H.M.B.,2010,Gothic,CO,Gunnison,none
Erythronium,grandiflorum,Pursh,Liliaceae,Physical,P.J.C.,2014,Gothic,CO,Gunnison,none
Zigadenus,elegans,Pursh,Melanthiaceae,Image,H.M.B.,2010,Gothic,CO,Gunnison,none
Castilleja,miniata,Douglas ex Hook.,Orobanchaceae,Image,H.M.B.,2010,Gothic,CO,Gunnison,none
Castilleja,sulphurea,Rydb.,Orobanchaceae,Image,H.M.B.,2010,Gothic,CO,Gunnison,none
Pedicularis,groenlandica,Retz.,Orobanchaceae,Image,H.M.B.,2010,Gothic,CO,Gunnison,none
Corydalis,aurea,Willd.,Papaveraceae,Image,H.M.B.,2010,Gothic,CO,Gunnison,none
Erythranthe,guttata,(DC.) G.L. Nesom,Phyrmaceae,Image,H.M.B.,2010,Gothic,CO,Gunnison,none
Polemonium,foliosissimum,A. Gray,Polemoniaceae,Image,H.M.B.,2010,Gothic,CO,Gunnison,none
Polemonium,viscosum,Nutt.,Polemoniaceae,Physical,P.J.C.,2010,Gothic,CO,Gunnison,none
Bistorta,bistortoides,(Pursh) Small,Polygonaceae,Image,H.M.B.,2010,Gothic,CO,Gunnison,none
Aquilegia,coerulea,E. James,Ranunculaceae,Image,H.M.B.,2010,Gothic,CO,Gunnison,none
Aquilegia,elegantula,Greene,Ranunculaceae,Image,H.M.B.,2010,Gothic,CO,Gunnison,none
Delphinium,barbeyi,(Huth) Huth,Ranunculaceae,Image,H.M.B.,2010,Gothic,CO,Gunnison,none
Delphinium,nuttallianum,Pritz. Ex Walp.,Ranunculaceae,Physical,P.J.C.,2014,Gothic,CO,Gunnison,none
Ranunculus,alismifolius,Geyer ex Benth.,Ranunculaceae,Image,H.M.B.,2010,Gothic,CO,Gunnison,none
Ranunculus,inamoenus,Greene,Ranunculaceae,Image,H.M.B.,2010,Gothic,CO,Gunnison,none
Dasiphora,fruticosa,(L.) Rydb.,Rosaceae,Image,H.M.B.,2010,Gothic,CO,Gunnison,none
Fragaria,virginiana,Duchesne,Rosaceae,Physical,P.J.C,2014,Gothic,CO,Gunnison,none
Geum,triflorum,Pursh,Rosaceae,Image,H.M.B.,2010,Gothic,CO,Gunnison,none
Potentilla,biennis,Greene,Rosaceae,Image,H.M.B.,2010,Gothic,CO,Gunnison,none
Potentilla,pulcherrima,Lehm.,Rosaceae,Physical,P.J.C,2014,Gothic,CO,Gunnison,none
Mitella,stauropetala,Piper,Saxifragaceae,Image,H.M.B.,2010,Gothic,CO,Gunnison,none
Valeriana,occidentalis,A. Heller,Valerianaceae,Image,H.M.B.,2010,Gothic,CO,Gunnison,none
Viola,canadensis,L.,Violaceae,Image,H.M.B.,2010,Gothic,CO,Gunnison,none
